,序号,股票代码,股票简称,相关,最新价,涨跌幅(%),PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业
48,499,2015,协鑫能科,详细  数据  股吧,18.82,2.17,30.89,30.42,3.02,1.18,2.76,18.01,电力行业
49,500,2016,世荣兆业,详细  数据  股吧,6.55,-6.56,7.71,7.49,1.12,-,2.09,-15.72,房地产开发
0,501,2017,东信和平,详细  数据  股吧,9.81,-1.51,97.00,100.79,3.02,3.97,3.98,30.79,通信设备
1,502,2019,亿帆医药,详细  数据  股吧,12.83,-1.23,59.21,56.87,1.83,-,3.85,148.98,化学制药
2,503,2020,京新药业,详细  数据  股吧,8.97,-1.97,13.16,13.23,1.66,-,2.42,17.85,化学制药
3,504,2021,ST中捷,详细  数据  股吧,1.72,-1.15,-,-,9.3,0.00,1.15,5.97,专用设备
4,505,2022,*ST科华,详细  数据  股吧,8.26,4.96,10.59,5.89,1.17,2.18,1.31,9.75,医疗器械
5,506,2023,海特高新,详细  数据  股吧,9.23,0.0,9.34,9.49,1.7,0.00,7.95,19.80,航天航空
6,507,2024,ST易购,详细  数据  股吧,2.45,0.82,-,-,0.74,0.00,0.22,-4.07,商业百货
7,508,2025,航天电器,详细  数据  股吧,64.75,1.35,55.61,60.15,5.42,4.79,5.4,44.64,电子元件
8,509,2026,山东威达,详细  数据  股吧,10.24,3.43,13.02,11.99,1.43,0.27,1.29,37.27,通用设备
9,510,2027,分众传媒,详细  数据  股吧,5.76,1.95,14.79,13.72,4.31,0.30,5.87,8.63,文化传媒
10,511,2028,思源电气,详细  数据  股吧,31.88,1.05,22.84,20.39,2.87,0.67,2.83,51.16,电网设备
11,512,2029,七匹狼,详细  数据  股吧,5.19,-1.52,18.51,16.96,0.65,1.79,1.13,8.00,纺织服装
12,513,2030,达安基因,详细  数据  股吧,16.84,-1.75,5.67,6.53,2.62,0.11,2.72,6.85,医疗器械
13,514,2031,巨轮智能,详细  数据  股吧,1.76,-0.56,-,-,1.59,0.01,2.14,15.76,专用设备
14,515,2032,苏泊尔,详细  数据  股吧,55.16,0.2,22.56,22.95,5.46,4.40,2.02,24.27,家电行业
15,516,2033,丽江股份,详细  数据  股吧,6.67,1.37,-,-,1.54,-,11.18,-411.57,旅游酒店
16,517,2034,旺能环境,详细  数据  股吧,19.98,0.15,12.80,13.24,1.59,0.51,2.78,6.96,环保行业
17,518,2035,华帝股份,详细  数据  股吧,5.41,-3.39,21.89,22.12,1.38,-,0.81,9.35,家电行业
18,519,2036,联创电子,详细  数据  股吧,12.59,3.71,114.98,119.01,3.56,-,1.3,24.30,光学光电子
19,520,2037,保利联合,详细  数据  股吧,8.9,-0.89,50.55,41.47,1.21,-,0.72,-11.87,化学制品
20,521,2038,双鹭药业,详细  数据  股吧,10.25,-4.38,26.50,24.72,1.96,1.84,8.52,22.45,生物制品
21,522,2039,黔源电力,详细  数据  股吧,18.17,-2.1,19.95,23.67,1.64,-,2.54,3.89,电力行业
22,523,2040,南京港,详细  数据  股吧,6.44,-1.68,20.45,21.36,1.06,1.59,3.83,10.08,航运港口
23,524,2041,登海种业,详细  数据  股吧,23.58,-0.17,74.61,89.13,6.49,0.40,17.21,98.67,农牧饲渔
24,525,2042,华孚时尚,详细  数据  股吧,3.58,-1.65,10.34,10.69,0.86,0.02,0.36,12.28,纺织服装
25,526,2043,兔宝宝,详细  数据  股吧,9.38,-1.88,10.30,10.19,3.21,0.14,0.75,9.62,装修建材
26,527,2044,美年健康,详细  数据  股吧,4.84,-1.83,326.54,295.39,2.5,-,2.07,8.07,医疗服务
27,528,2045,国光电器,详细  数据  股吧,8.35,1.21,-,97.44,1.96,22.35,0.81,-34.82,消费电子
28,529,2046,国机精工,详细  数据  股吧,11.85,5.15,46.41,48.78,2.12,0.63,1.73,18.74,通用设备
29,530,2047,宝鹰股份,详细  数据  股吧,3.23,-3.87,-,-,1.54,0.00,1.12,-23.29,装修装饰
30,531,2048,宁波华翔,详细  数据  股吧,14.03,0.36,9.34,9.03,1.09,0.18,0.65,4.88,汽车零部件
31,532,2049,紫光国微,详细  数据  股吧,189.87,1.35,53.33,58.98,15.16,0.30,20.11,106.82,半导体
32,533,2050,三花智控,详细  数据  股吧,17.4,3.76,35.16,37.10,5.59,2.29,3.59,41.89,家电行业
33,534,2051,中工国际,详细  数据  股吧,9.0,-0.11,38.58,39.43,1.03,0.01,1.17,73.27,工程建设
34,535,2052,*ST同洲,详细  数据  股吧,1.73,0.0,-,-,65.93,0.26,10.84,-42.73,家电行业
35,536,2053,云南能投,详细  数据  股吧,11.08,-0.89,29.41,33.49,1.86,2.36,3.62,13.95,化学原料
36,537,2054,德美化工,详细  数据  股吧,7.36,0.41,16.29,17.21,1.44,0.17,1.69,63.78,化学制品
37,538,2055,得润电子,详细  数据  股吧,10.37,0.68,-,-,2.02,0.00,0.82,8.49,消费电子
38,539,2056,横店东磁,详细  数据  股吧,18.4,3.95,24.38,26.71,4.22,2.56,2.07,26.30,小金属
39,540,2057,中钢天源,详细  数据  股吧,7.75,0.78,23.75,27.53,2.15,0.97,2.1,-428.81,小金属
40,541,2058,*ST威尔,详细  数据  股吧,11.53,4.44,126.50,113.11,9.25,0.02,6.82,-118.01,电网设备
41,542,2059,云南旅游,详细  数据  股吧,6.84,1.94,-,-,3.33,-,4.99,-8.50,旅游酒店
42,543,2060,粤水电,详细  数据  股吧,7.33,-5.17,27.05,26.87,2.41,1.08,0.62,6.31,工程建设
43,544,2061,浙江交科,详细  数据  股吧,7.0,-1.41,8.94,11.42,1.05,-,0.23,-21.10,工程建设
44,545,2062,宏润建设,详细  数据  股吧,7.11,-3.27,19.77,19.61,1.99,-,0.8,11.90,工程建设
45,546,2063,远光软件,详细  数据  股吧,6.31,0.16,27.32,27.34,2.9,1.48,4.2,5.13万,软件开发
46,547,2064,华峰化学,详细  数据  股吧,7.83,0.64,5.07,4.90,1.68,0.02,1.3,6.45,化纤行业
47,548,2065,东华软件,详细  数据  股吧,5.76,-0.17,39.66,40.18,1.67,-,1.66,34.51,软件开发
48,549,2066,瑞泰科技,详细  数据  股吧,9.39,1.19,42.01,45.39,3.9,0.62,0.47,8.59,装修建材
49,550,2067,景兴纸业,详细  数据  股吧,3.56,-0.84,10.57,9.64,0.79,0.27,0.67,10.73,造纸印刷
0,551,2068,黑猫股份,详细  数据  股吧,9.97,10.04,51.13,17.29,2.29,0.19,0.94,374.73,橡胶制品
1,552,2069,ST獐子岛,详细  数据  股吧,2.78,-1.07,71.14,269.19,87.61,7.41,0.93,19.18,农牧饲渔
2,553,2072,*ST凯瑞,详细  数据  股吧,5.8,3.02,178.68,249.50,32.76,-,9.66,-17.39,软件开发
3,554,2073,软控股份,详细  数据  股吧,5.14,1.78,33.50,34.45,1.09,0.74,0.8,25.94,专用设备
4,555,2074,国轩高科,详细  数据  股吧,31.88,4.56,615.85,520.86,2.83,-,4.09,53.51,电池
5,556,2075,沙钢股份,详细  数据  股吧,4.84,0.62,9.85,9.60,1.69,0.13,0.56,3.63,钢铁行业
6,557,2076,*ST雪莱,详细  数据  股吧,1.39,0.0,-,-,-6.12,-,7.43,318.88,家电行业
7,558,2077,大港股份,详细  数据  股吧,5.43,0.18,21.27,23.15,1.0,0.63,4.6,12.61,半导体
8,559,2078,太阳纸业,详细  数据  股吧,12.9,2.3,13.73,11.72,1.8,0.30,1.02,8.61,造纸印刷
9,560,2079,苏州固锝,详细  数据  股吧,9.52,2.26,33.95,35.33,3.14,0.22,2.84,260.55,半导体
10,561,2080,中材科技,详细  数据  股吧,21.51,1.37,10.26,10.70,2.42,0.15,1.72,15.35,玻璃玻纤
11,562,2081,金螳螂,详细  数据  股吧,5.22,-1.51,-,-,1.2,-,0.55,12.07,装修装饰
12,563,2082,万邦德,详细  数据  股吧,8.8,-0.34,33.23,32.67,2.07,-,3.24,45.43,化学制药
13,564,2083,孚日股份,详细  数据  股吧,4.33,-2.04,14.85,13.03,0.93,0.60,0.67,9.95,纺织服装
14,565,2084,海鸥住工,详细  数据  股吧,4.23,-2.98,61.69,30.03,1.44,-,0.63,27.58,装修装饰
15,566,2085,万丰奥威,详细  数据  股吧,4.76,1.28,30.48,31.23,1.97,-,0.79,17.79,汽车零部件
16,567,2086,ST东洋,详细  数据  股吧,2.43,5.19,-,-,4.6,0.00,4.43,155.22,农牧饲渔
17,568,2087,新野纺织,详细  数据  股吧,3.21,-2.73,99.90,53.57,0.61,-,0.53,16.69,纺织服装
18,569,2088,鲁阳节能,详细  数据  股吧,19.22,-0.72,17.95,18.22,3.53,0.42,3.04,21.76,装修建材
19,570,2089,ST新海,详细  数据  股吧,2.32,0.0,231.98,675.62,3.29,-,13.44,19.17,通信设备
20,571,2090,金智科技,详细  数据  股吧,7.06,0.14,23.11,19.69,2.26,0.10,1.73,-110.35,电网设备
21,572,2091,江苏国泰,详细  数据  股吧,10.44,0.48,11.08,13.49,1.55,0.39,0.39,34.33,贸易行业
22,573,2092,中泰化学,详细  数据  股吧,7.49,0.54,8.00,7.14,0.75,0.01,0.35,7.32,化学原料
23,574,2093,国脉科技,详细  数据  股吧,5.07,-0.78,51.09,52.22,1.46,1.26,10.43,-7035.22,通信服务
24,575,2094,青岛金王,详细  数据  股吧,3.34,-1.76,111.75,141.21,1.03,-,0.74,-17.03,美容护理
25,576,2095,生意宝,详细  数据  股吧,13.69,1.86,160.86,152.11,3.79,-,7.33,-41.89,互联网服务
26,577,2096,南岭民爆,详细  数据  股吧,11.38,-0.18,95.27,88.30,2.35,0.30,2.16,-289.2,化学制品
27,578,2097,山河智能,详细  数据  股吧,6.04,-0.66,-,20.62,1.2,9.25,0.67,-6.42,工程机械
28,579,2098,浔兴股份,详细  数据  股吧,6.0,-1.15,16.65,17.03,2.23,-,0.91,13.63,纺织服装
29,580,2099,海翔药业,详细  数据  股吧,6.96,-1.42,90.08,118.31,1.81,-,4.26,87.51,化学制药
30,581,2100,天康生物,详细  数据  股吧,9.13,-0.54,-,-,1.77,-,0.78,88.57,农牧饲渔
31,582,2101,广东鸿图,详细  数据  股吧,10.26,0.69,17.58,18.08,1.14,0.17,0.91,6.71,汽车零部件
32,583,2102,ST冠福,详细  数据  股吧,3.7,4.82,59.72,96.40,2.76,-,0.73,27.35,化学制药
33,584,2103,广博股份,详细  数据  股吧,4.42,-1.34,-,128.27,2.98,62.35,0.9,33.24,家用轻工
34,585,2104,恒宝股份,详细  数据  股吧,8.57,-1.72,130.74,112.52,3.24,-,6.39,332.45,通信设备
35,586,2105,信隆健康,详细  数据  股吧,7.22,-0.82,10.29,9.76,2.96,0.15,1.04,10.35,交运设备
36,587,2106,莱宝高科,详细  数据  股吧,7.28,0.41,12.57,10.46,1.08,1.11,0.7,6.99,光学光电子
37,588,2107,沃华医药,详细  数据  股吧,5.99,-1.8,24.80,21.16,4.96,-,3.64,20.95,中药
38,589,2108,沧州明珠,详细  数据  股吧,4.99,5.05,22.54,19.33,1.88,1.16,2.52,13.85,塑料制品
39,590,2109,兴化股份,详细  数据  股吧,5.8,0.0,9.35,11.34,1.3,0.07,1.96,7.99,化学原料
40,591,2110,三钢闽光,详细  数据  股吧,6.78,-0.29,4.63,4.18,0.7,0.08,0.27,4.69,钢铁行业
41,592,2111,威海广泰,详细  数据  股吧,9.12,-5.39,127.98,95.16,1.51,-,1.62,64.1,专用设备
42,593,2112,三变科技,详细  数据  股吧,6.59,-0.75,69.82,71.56,3.17,-,1.26,242.6,电网设备
43,594,2113,ST天润,详细  数据  股吧,1.17,-0.85,-,-,11.74,0.00,4.61,19.75,游戏
44,595,2114,罗平锌电,详细  数据  股吧,6.21,-0.64,-,65.68,1.41,-,1.09,18.08,有色金属
45,596,2115,三维通信,详细  数据  股吧,3.68,-0.81,-,-,1.32,-,0.3,-39.78,通信服务
46,597,2116,中国海诚,详细  数据  股吧,8.49,-1.96,20.88,22.05,2.3,0.14,0.65,8.43,工程咨询服务
47,598,2117,东港股份,详细  数据  股吧,6.91,-0.72,20.10,20.22,2.34,1.43,3.15,21.59,造纸印刷
48,599,2118,紫鑫药业,详细  数据  股吧,2.73,0.0,-,-,1.03,0.08,13.98,-5.97,中药
49,600,2119,康强电子,详细  数据  股吧,9.54,-0.31,18.98,19.75,3.05,0.14,1.66,27.3,半导体
0,601,2120,韵达股份,详细  数据  股吧,16.0,0.13,29.11,31.45,2.88,4.47,1.03,10.71,物流行业
1,602,2121,科陆电子,详细  数据  股吧,4.13,0.0,-,-,8.12,0.01,1.87,46.81,电网设备
2,603,2122,ST天马,详细  数据  股吧,1.85,-5.13,-,-,3.76,-,2.72,22.28,通用设备
3,604,2123,梦网科技,详细  数据  股吧,9.28,-0.22,-,-,1.79,-,2.29,-22.94,通信服务
4,605,2124,天邦股份,详细  数据  股吧,6.8,-0.87,-,-,4.5,0.01,1.43,-8.5,农牧饲渔
5,606,2125,湘潭电化,详细  数据  股吧,11.63,2.56,20.37,30.79,3.43,0.01,3.72,62.87,化学原料
6,607,2126,银轮股份,详细  数据  股吧,8.47,0.83,36.18,30.44,1.56,-,0.85,14.69,汽车零部件
7,608,2127,南极电商,详细  数据  股吧,5.34,-2.38,27.19,27.48,2.62,-,3.26,44.46,贸易行业
8,609,2128,电投能源,详细  数据  股吧,14.59,0.76,6.90,7.88,1.27,0.08,1.08,3.68,煤炭行业
9,610,2129,中环股份,详细  数据  股吧,40.54,2.5,27.30,32.51,3.99,0.08,2.79,30.19,光伏设备
10,611,2130,沃尔核材,详细  数据  股吧,5.32,0.38,13.32,12.13,1.73,0.33,1.24,10.11,非金属材料
11,612,2131,利欧股份,详细  数据  股吧,1.68,-1.18,-,-,1.03,-,0.55,111.23,互联网服务
12,613,2132,恒星科技,详细  数据  股吧,5.67,2.72,65.01,56.59,2.25,4.01,2.26,48.42,通用设备
13,614,2133,广宇集团,详细  数据  股吧,4.37,10.08,9.54,10.37,0.86,0.91,0.4,-2.68,房地产开发
14,615,2134,天津普林,详细  数据  股吧,8.72,0.0,73.96,79.61,4.99,0.05,2.98,18.38,电子元件
15,616,2135,东南网架,详细  数据  股吧,8.38,-2.56,19.21,19.82,1.58,0.23,0.84,-15.92,工程建设
16,617,2136,安纳达,详细  数据  股吧,14.01,0.36,14.26,16.26,3.08,0.06,1.31,20.8,化学原料
17,618,2137,实益达,详细  数据  股吧,4.59,-1.08,-,-,1.93,-,2.88,65.1,电子元件
18,619,2138,顺络电子,详细  数据  股吧,25.32,1.69,26.99,26.02,3.74,0.81,4.51,20.84,电子元件
19,620,2139,拓邦股份,详细  数据  股吧,9.0,0.0,26.96,20.02,2.22,5.96,1.43,-1086.26,消费电子
20,621,2140,东华科技,详细  数据  股吧,9.3,0.76,19.46,20.38,1.92,0.73,0.86,6.17,工程建设
21,622,2141,贤丰控股,详细  数据  股吧,5.35,10.08,144.17,207.96,7.4,-,4.24,3235.74,电子元件
22,623,2142,宁波银行,详细  数据  股吧,34.03,1.43,10.95,11.50,1.6,0.34,4.1,2.28,银行
23,624,2144,宏达高科,详细  数据  股吧,8.57,-1.61,26.83,23.35,0.81,30.25,2.57,12.58,纺织服装
24,625,2145,中核钛白,详细  数据  股吧,9.89,-3.32,16.51,16.69,2.8,0.10,3.61,12.42,化学原料
25,626,2146,荣盛发展,详细  数据  股吧,3.35,-2.9,-,-,0.38,-,0.37,0.6,房地产服务
26,627,2147,*ST新光,详细  数据  股吧,3.14,0.0,8.50,8.19,124.94,-,3.77,12.4,房地产开发
27,628,2148,北纬科技,详细  数据  股吧,4.31,-1.82,44.12,44.04,2.08,0.16,10.95,88.79,通信服务
28,629,2149,西部材料,详细  数据  股吧,11.14,0.81,44.09,40.88,2.05,0.72,2.25,-146.42,小金属
29,630,2150,通润装备,详细  数据  股吧,6.03,-2.74,14.37,14.94,1.43,1.49,1.06,27.73,通用设备
30,631,2151,北斗星通,详细  数据  股吧,29.43,0.89,72.99,74.41,3.36,1.85,4.08,61.58,通信设备
31,632,2152,广电运通,详细  数据  股吧,8.99,1.35,26.37,27.09,2.02,1.52,3.23,17.07,计算机设备
32,633,2153,石基信息,详细  数据  股吧,19.51,-0.91,-,-,3.62,0.02,9.2,383.15,软件开发
33,634,2154,报喜鸟,详细  数据  股吧,4.1,0.49,12.23,12.89,1.37,0.49,1.3,11.81,纺织服装
34,635,2155,湖南黄金,详细  数据  股吧,9.03,1.12,28.35,29.88,1.95,0.38,0.5,15.07,贵金属
35,636,2156,通富微电,详细  数据  股吧,13.75,0.95,18.93,19.10,1.73,0.08,1.07,5.96,半导体
36,637,2157,正邦科技,详细  数据  股吧,5.93,-1.33,-,-,51.24,0.00,0.45,201.35,农牧饲渔
37,638,2158,汉钟精机,详细  数据  股吧,16.37,0.31,17.37,17.97,3.26,0.51,2.92,21.15,通用设备
38,639,2159,三特索道,详细  数据  股吧,9.05,-1.09,-,-,1.34,-,3.97,15.33,旅游酒店
39,640,2160,常铝股份,详细  数据  股吧,3.74,0.27,29.90,28.63,0.94,0.13,0.47,-36.3,有色金属
40,641,2161,远望谷,详细  数据  股吧,4.09,-0.73,-,-,2.13,-,6.12,37.08,电子元件
41,642,2162,悦心健康,详细  数据  股吧,4.55,-2.99,99.40,91.30,3.32,-,3.4,46.9,装修建材
42,643,2163,海南发展,详细  数据  股吧,14.28,4.01,292.99,115.74,14.05,-,2.9,-99.55,玻璃玻纤
43,644,2164,宁波东力,详细  数据  股吧,4.69,-0.64,7.11,7.50,2.5,0.03,1.48,17.26,通用设备
44,645,2165,红宝丽,详细  数据  股吧,4.09,-2.39,-,101.13,1.43,4.32,0.91,5.32,化学制品
45,646,2166,莱茵生物,详细  数据  股吧,9.19,-4.77,38.38,43.86,2.73,0.92,4.66,62.2,中药
46,647,2167,东方锆业,详细  数据  股吧,6.3,1.61,23.36,32.45,3.59,0.01,3.49,27.93,小金属
47,648,2168,惠程科技,详细  数据  股吧,2.96,-1.66,-,-,31.84,-,7.97,-39.47,游戏
48,649,2169,智光电气,详细  数据  股吧,6.86,-0.58,-,16.09,1.74,-,2.75,110.09,电网设备
49,650,2170,芭田股份,详细  数据  股吧,5.46,0.0,51.88,59.94,2.32,13.29,1.81,-55.79,化肥行业
0,651,2171,楚江新材,详细  数据  股吧,7.96,2.05,18.94,18.73,1.75,0.15,0.27,-24.26,有色金属
1,652,2172,澳洋健康,详细  数据  股吧,3.43,-3.65,-,-,27.84,0.02,0.99,-4.81,化纤行业
2,653,2173,创新医疗,详细  数据  股吧,5.82,-2.18,-,-,1.33,-,3.66,-135.33,医疗服务
3,654,2174,游族网络,详细  数据  股吧,9.0,-0.77,136.59,49.10,1.68,-,2.94,64.58,游戏
4,655,2175,东方网络,详细  数据  股吧,3.09,-0.32,8.75,9.64,11.6,-,15.45,1309.1,仪器仪表
5,656,2176,江特电机,详细  数据  股吧,21.3,3.1,37.15,94.21,14.38,0.01,9.56,44.78,电机
6,657,2177,*ST御银,详细  数据  股吧,2.45,0.82,-,-,1.16,0.20,21.51,95.53,计算机设备
7,658,2178,延华智能,详细  数据  股吧,4.78,-4.02,237.90,378.10,6.05,-,4.39,183.62,软件开发
8,659,2179,中航光电,详细  数据  股吧,80.07,1.59,43.21,45.66,5.71,1.11,6.76,50.02,电子元件
9,660,2180,纳思达,详细  数据  股吧,45.15,1.85,47.15,54.96,4.35,0.01,2.76,25.89,计算机设备
10,661,2181,粤传媒,详细  数据  股吧,3.53,-0.56,50.94,45.71,0.95,-,7.39,-7.12,文化传媒
11,662,2182,云海金属,详细  数据  股吧,18.67,5.3,16.73,24.49,3.27,0.11,1.36,332.96,小金属
12,663,2183,怡亚通,详细  数据  股吧,8.58,10.0,48.37,44.00,2.58,0.14,0.34,22.9,物流行业
13,664,2184,海得控制,详细  数据  股吧,9.42,-0.74,24.11,24.67,2.77,4.05,1.33,23.04,专用设备
14,665,2185,华天科技,详细  数据  股吧,8.6,1.65,20.56,19.47,1.81,0.18,2.2,8.56,半导体
15,666,2186,全聚德,详细  数据  股吧,7.98,-0.75,-,-,2.53,-,2.57,-27.02,旅游酒店
16,667,2187,广百股份,详细  数据  股吧,8.66,-5.25,34.15,23.40,1.38,0.07,0.99,13.79,商业百货
17,668,2188,*ST巴士,详细  数据  股吧,5.23,-0.19,8.99,10.24,17.8,-,5.21,144.59,房地产服务
18,669,2189,中光学,详细  数据  股吧,12.98,-0.84,29.66,23.20,2.18,-,0.82,6.39,光学光电子
19,670,2190,成飞集成,详细  数据  股吧,23.4,-0.34,127.22,150.63,1.54,-,6.17,140.1,专用设备
20,671,2191,劲嘉股份,详细  数据  股吧,8.99,-0.44,12.33,12.97,1.62,0.50,2.52,15.76,包装材料
21,672,2192,融捷股份,详细  数据  股吧,122.89,0.09,99.55,467.26,35.43,0.29,24.74,262.12,电池
22,673,2193,如意集团,详细  数据  股吧,5.52,-2.99,-,1453.72,0.53,-,2.09,19.86,纺织服装
23,674,2194,武汉凡谷,详细  数据  股吧,8.91,0.56,23.41,26.65,2.48,1.14,3.32,24.46,通信设备
24,675,2195,二三四五,详细  数据  股吧,2.13,-0.47,31.18,30.69,1.3,-,14.17,25.07,互联网服务
25,676,2196,方正电机,详细  数据  股吧,8.36,5.03,171.53,165.84,2.76,-,2.04,30.55,电机
26,677,2197,证通电子,详细  数据  股吧,8.76,-0.9,117.36,142.19,1.76,0.68,4.19,8.92,计算机设备
27,678,2198,嘉应制药,详细  数据  股吧,5.24,-0.57,-,1800.18,3.87,127.47,4.64,47.6,中药
28,679,2199,东晶电子,详细  数据  股吧,6.05,-0.49,83.56,47.60,3.42,0.33,5.21,46.41,电子元件
29,680,2200,ST云投,详细  数据  股吧,7.91,0.64,-,-,82.08,0.19,7.15,19.63,农牧饲渔
30,681,2201,正威新材,详细  数据  股吧,13.43,1.44,156.05,151.28,6.09,10.70,4.1,93.68,玻璃玻纤
31,682,2202,金风科技,详细  数据  股吧,11.77,2.17,13.72,14.39,1.41,0.93,0.99,10.31,风电设备
32,683,2203,海亮股份,详细  数据  股吧,9.72,0.73,16.65,17.27,1.78,0.25,0.29,-7.61,有色金属
33,684,2204,大连重工,详细  数据  股吧,3.48,-0.29,42.55,58.25,1.01,0.46,0.71,5.6,工程机械
34,685,2205,国统股份,详细  数据  股吧,12.63,-9.98,5522.80,273.13,2.81,-,2.06,27.57,水泥建材
35,686,2206,海利得,详细  数据  股吧,5.2,0.0,11.05,11.06,1.88,0.08,1.17,56.94,化纤行业
36,687,2207,准油股份,详细  数据  股吧,8.19,2.5,49.02,279.93,15.57,-,11.33,-45.82,采掘行业
37,688,2208,合肥城建,详细  数据  股吧,7.98,-2.44,11.95,7.31,1.03,0.94,1.28,-1.42,房地产开发
38,689,2209,达意隆,详细  数据  股吧,6.51,-1.06,-,-,2.2,0.02,1.23,-17.54,专用设备
39,690,2210,飞马国际,详细  数据  股吧,2.61,-1.51,-,1413.10,48.83,6.06万,26.61,-120.99,物流行业
40,691,2211,ST宏达,详细  数据  股吧,2.26,1.35,-,-,23.05,0.00,1.82,9.2,化学制品
41,692,2212,天融信,详细  数据  股吧,9.27,0.43,42.17,47.79,1.18,-,3.17,99.77,软件开发
42,693,2213,大为股份,详细  数据  股吧,10.0,0.0,124.73,133.08,5.91,1.63,2.35,95.0,汽车零部件
43,694,2214,大立科技,详细  数据  股吧,11.55,1.4,88.87,40.44,2.79,-,10.59,-728.94,电子元件
44,695,2215,诺普信,详细  数据  股吧,6.15,-1.28,18.71,19.82,1.9,0.16,1.33,111.6,农药兽药
45,696,2216,三全食品,详细  数据  股吧,20.32,-0.44,24.61,27.88,5.11,-,2.57,15.35,食品饮料
46,697,2217,合力泰,详细  数据  股吧,2.75,0.36,-,111.65,0.98,15.14,0.54,6.86,光学光电子
47,698,2218,拓日新能,详细  数据  股吧,4.65,9.93,47.03,33.62,1.55,2.61,4.5,20.15,光伏设备
48,699,2219,*ST恒康,详细  数据  股吧,3.0,0.33,-,-,3.6,0.00,1.82,19.27,医疗服务
49,700,2221,东华能源,详细  数据  股吧,7.62,0.66,14.38,11.02,1.15,-,0.48,30.53,石油行业
0,701,2222,福晶科技,详细  数据  股吧,13.69,0.74,29.54,30.58,4.6,0.85,8.11,29.72,光学光电子
1,702,2223,鱼跃医疗,详细  数据  股吧,23.12,-1.7,15.58,15.63,2.65,-,3.29,16.09,医疗器械
2,703,2224,三力士,详细  数据  股吧,4.46,2.76,32.52,28.73,1.36,-,3.26,25.11,橡胶制品
3,704,2225,濮耐股份,详细  数据  股吧,3.79,-1.04,47.94,45.72,1.25,-,0.85,-12.52,装修建材
4,705,2226,江南化工,详细  数据  股吧,5.11,-0.78,13.03,12.86,1.56,0.05,2.05,18.88,化学制品
5,706,2227,奥特迅,详细  数据  股吧,12.55,0.72,-,-,2.75,-,10.99,-56.04,电源设备
6,707,2228,合兴包装,详细  数据  股吧,3.3,-0.3,19.50,18.72,1.2,-,0.23,12.07,包装材料
7,708,2229,鸿博股份,详细  数据  股吧,5.34,10.1,-,291.19,1.59,1.81,5.02,73.42,造纸印刷
8,709,2230,科大讯飞,详细  数据  股吧,35.78,1.33,54.43,53.43,4.91,3.81,4.3,90.75,软件开发
9,710,2231,奥维通信,详细  数据  股吧,4.84,-0.62,111.52,71.96,4.13,-,3.45,52.17,通信服务
10,711,2232,启明信息,详细  数据  股吧,12.68,0.56,119.91,128.21,3.87,-,4.4,-59.18,互联网服务
11,712,2233,塔牌集团,详细  数据  股吧,8.74,-0.79,6.78,5.67,0.87,2.09,1.4,5.79,水泥建材
12,713,2234,民和股份,详细  数据  股吧,14.34,-1.98,-,105.11,1.7,2.10,3.3,-24.83,农牧饲渔
13,714,2235,安妮股份,详细  数据  股吧,4.49,-1.54,133.94,115.11,2.13,-,5.91,-75.57,文化传媒
14,715,2236,大华股份,详细  数据  股吧,15.18,0.2,13.42,13.46,1.89,-,1.35,78.1,计算机设备
15,716,2237,恒邦股份,详细  数据  股吧,9.17,0.44,23.88,23.15,1.32,1.08,0.25,66.31,贵金属
16,717,2238,天威视讯,详细  数据  股吧,5.1,-2.67,30.74,28.82,1.79,-,2.34,8.97,文化传媒
17,718,2239,奥特佳,详细  数据  股吧,2.33,0.43,-,-,1.46,-,1.4,15.53,汽车零部件
18,719,2240,盛新锂能,详细  数据  股吧,46.85,4.67,22.35,47.66,6.56,0.00,9.93,97.67,能源金属
19,720,2241,歌尔股份,详细  数据  股吧,36.15,3.29,29.34,28.89,4.35,0.57,1.46,13.44,消费电子
20,721,2242,九阳股份,详细  数据  股吧,15.11,0.27,15.84,15.54,2.62,-,1.09,18.09,家电行业
21,722,2243,力合科创,详细  数据  股吧,8.61,-7.02,16.62,16.52,1.61,2.43,3.4,-11.98,美容护理
22,723,2244,滨江集团,详细  数据  股吧,8.32,-2.12,9.06,8.55,1.25,0.28,0.7,-2.58,房地产开发
23,724,2245,蔚蓝锂芯,详细  数据  股吧,20.26,4.33,29.53,31.32,5.57,0.19,2.97,123.41,电池
24,725,2246,北化股份,详细  数据  股吧,8.55,-0.81,42.60,38.63,1.71,0.96,1.77,20.03,化学制品
25,726,2247,聚力文化,详细  数据  股吧,2.46,-1.2,31.10,25.95,3.04,-,1.82,28.23,装修装饰
26,727,2248,华东数控,详细  数据  股吧,7.26,5.22,167.86,157.30,32.74,-,7.33,317.19,通用设备
27,728,2249,大洋电机,详细  数据  股吧,5.39,1.89,47.80,50.92,1.55,0.37,1.22,18.48,电机
28,729,2250,联化科技,详细  数据  股吧,14.87,0.2,44.93,43.53,2.15,0.13,2.0,13.52,农药兽药
29,730,2251,步步高,详细  数据  股吧,8.26,-10.02,-,-,0.98,-,0.57,2.24,商业百货
30,731,2252,上海莱士,详细  数据  股吧,5.54,-1.95,26.36,28.85,1.42,-,7.3,26.27,生物制品
