,序号,股票代码,股票简称,相关,最新价,涨跌幅(%),PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业
4,55,89,深圳机场,详细  数据  股吧,6.31,0.32,-,-,1.12,-,4.09,15.71,航空机场
5,56,90,天健集团,详细  数据  股吧,7.54,-5.28,7.34,7.29,1.37,0.19,0.61,-4.46,工程建设
6,57,96,广聚能源,详细  数据  股吧,9.43,-0.53,76.71,73.54,1.72,-,3.02,367.80,石油行业
7,58,99,中信海直,详细  数据  股吧,6.98,-1.41,19.07,21.97,1.13,1.72,3.17,9.42,航空机场
8,59,100,TCL科技,详细  数据  股吧,4.24,0.71,6.61,5.92,1.37,0.06,0.35,2.07,光学光电子
9,60,150,*ST宜康,详细  数据  股吧,1.4,-4.76,-,-,-2.47,0.18,0.99,9.50,医疗服务
10,61,151,中成股份,详细  数据  股吧,7.7,-2.53,1944.27,325.83,2.89,-,1.09,21.33,贸易行业
11,62,153,丰原药业,详细  数据  股吧,7.82,-1.64,19.83,21.30,1.56,2.03,0.68,10.45,化学制药
12,63,155,川能动力,详细  数据  股吧,17.99,0.0,70.43,78.10,5.33,0.32,7.59,16.18,电力行业
13,64,156,华数传媒,详细  数据  股吧,7.34,-1.34,14.75,15.00,0.95,2.03,1.55,6.56,文化传媒
14,65,157,中联重科,详细  数据  股吧,5.83,-0.51,10.63,8.07,0.88,-,0.87,91.26,工程机械
15,66,158,常山北明,详细  数据  股吧,5.42,-0.18,64.96,66.14,1.43,1.98,0.76,-236.51,综合行业
16,67,159,国际实业,详细  数据  股吧,5.41,1.12,177.22,94.01,1.16,-,2.12,39.75,石油行业
17,68,166,申万宏源,详细  数据  股吧,3.99,0.0,12.43,10.63,1.04,0.54,3.28,-3.73,证券
18,69,301,东方盛虹,详细  数据  股吧,13.91,3.42,22.09,18.20,3.09,0.01,1.52,23.63,化纤行业
19,70,333,美的集团,详细  数据  股吧,57.39,2.12,13.71,14.05,3.04,2.77,1.14,11.63,家电行业
